,graph,reward,trialNumber,trial_index,visited_nodes,difficulty,difficulty_2,unchoosen_diff,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df
5466,"[[], [9, 4], [8, 0], [7, 1], [], [], [], [5, 6], [0], []]","[0, -4, -1, None, 2, 0, 4, 4, 3, -4]",188,193,"{3, 6, 7}",10,0.0,6.0,best_second,wb651fe0,7.145196134997172,6.99117688712121,7.763871287820222,8,8,0,1,1,2
5468,"[[], [], [0, 9], [6, 1], [], [8, 2], [1], [], [7, 4], []]","[3, -1, -4, -4, -1, None, -1, 4, 4, -1]",190,195,"{8, 5, 7}",9,5.0,4.0,best_second,wb651fe0,7.097548850614793,6.423246963533519,7.508787170634276,8,8,0,1,1,2
5470,"[[], [], [1, 5], [], [0], [], [4, 0], [3, 9], [7, 2], []]","[1, 2, -1, -2, 3, 4, 3, 4, None, 2]",192,197,"{8, 3, 7}",4,2.0,2.0,best_third,wb651fe0,7.512071245835466,7.125283091510711,8.030084094267563,6,2,4,0,1,2
5472,"[[5, 6], [], [], [], [1, 3], [6], [], [8, 4], [2, 9], []]","[2, -1, -4, 4, 4, -2, -4, None, -3, -2]",194,199,"{3, 4, 7}",11,0.0,2.0,best_second,wb651fe0,7.307202314764738,7.448333860897476,8.073091199693156,8,8,0,1,1,2
5474,"[[7], [3, 8], [0, 7], [], [1, 5], [9, 6], [], [], [], []]","[-3, -4, -3, 1, None, -1, -4, -2, 3, 1]",196,201,"{1, 3, 4}",3,7.0,5.0,best_min,wb651fe0,8.234034207692043,6.587550014824797,8.410053315858335,0,-3,3,0,0,2
5476,"[[], [0, 2], [], [9], [], [7, 4], [1, 5], [], [3, 9], []]","[-1, 0, 4, 1, 2, -1, None, 1, -1, -3]",198,203,"{1, 2, 6}",4,4.0,1.0,best_min,wb651fe0,8.257904193465674,7.046647277848756,8.518392471991719,4,4,0,1,1,2
5478,"[[], [3, 6], [], [7, 8], [], [0], [2, 4], [], [], [5, 0]]","[-1, None, 2, -1, 1, -3, 4, -4, -2, -2]",200,205,"{1, 2, 6}",7,3.0,2.0,best_second,wb651fe0,7.564238475170491,7.685243607975833,8.319473692442186,6,6,0,1,1,2
5480,"[[3, 9], [], [], [], [], [0, 8], [7, 2], [2], [4, 1], []]","[-1, 3, 4, 1, 0, None, 1, -3, -2, 0]",2,7,"{0, 9, 5}",2,1.0,3.0,best_min,waedfc9c,8.79830371848498,7.724004656676065,9.092007185014317,1,-1,2,0,0,2
5482,"[[9], [], [], [7, 4], [5, 6], [], [], [2, 1], [0, 9], []]","[4, -3, -2, None, 4, 3, 0, -1, -4, 2]",4,9,"{3, 4, 5}",8,4.0,1.0,best_second,waedfc9c,7.66105638236183,7.385230923066573,8.225503097566918,7,7,0,1,1,2
5484,"[[], [], [], [], [7, 1], [], [0, 3], [1], [6, 9], [5, 2]]","[0, -4, -3, 4, -4, -4, 4, 3, None, -3]",6,11,"{8, 3, 6}",11,0.0,1.0,best_second,waedfc9c,8.039157390473237,7.821242083523558,8.629092283913646,8,8,0,1,1,2
5486,"[[3, 2], [7, 0], [], [], [6], [4, 6], [], [8, 9], [], []]","[4, None, 4, 1, -2, 0, 3, -3, 2, -4]",8,13,"{0, 1, 2}",9,0.0,6.0,best_second,waedfc9c,7.994632311431825,7.581209826196346,8.50207955360619,8,8,0,1,1,2
5488,"[[], [], [6, 8], [], [], [0, 3], [8], [5, 9], [], [4, 1]]","[1, 1, -2, -1, 2, -4, 3, None, -4, 4]",10,15,"{9, 4, 7}",7,3.0,2.0,best_second,waedfc9c,7.808729306744399,6.9874902470009905,8.173011311724972,6,6,0,1,1,2
5490,"[[], [9, 0], [8, 3], [], [2, 6], [], [5, 7], [], [], [0]]","[-1, -3, -1, 2, None, 4, 2, -4, -4, 0]",12,17,"{2, 3, 4}",8,3.0,8.0,best_third,waedfc9c,7.8399193600125825,7.872836175025724,8.549466751966532,6,1,5,0,0,2
5492,"[[], [8], [3, 7], [], [0, 5], [], [2, 4], [], [], [1, 8]]","[-3, 3, 0, 4, 0, 1, None, 2, 4, -1]",14,19,"{2, 3, 6}",4,2.0,4.0,best_second,waedfc9c,7.8168199657645525,7.964850887447313,8.58653266949485,4,4,0,1,1,2
