,graph,reward,trialNumber,difficulty,difficulty_2,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df,unchoosen_diff
2210,"[[9], [], [], [], [5, 7], [1, 6], [], [2, 3], [], [], [0, 9]]","[-3, 1, -1, 4, None, 4, 3, -4, 3, 1, 1]",235,7,1.0,best_second,we76379b,7.678326356506886,7.736743682453495,8.400884069015854,7,7,0,1,1,2,5.0
2211,"[[3, 8], [], [], [], [], [9], [5, 9], [0, 10], [], [], [1, 4]]","[-1, -3, 0, -2, 4, -1, -1, None, 4, -3, 3]",383,7,1.0,best_third,we76379b,7.6246189861593985,7.822845290279774,8.421562960400987,7,7,0,1,1,2,6.0
2212,"[[10], [], [0, 10], [], [], [9, 8], [3, 1], [6, 5], [], [], []]","[-4, 4, -1, -4, -4, 1, -3, None, -4, 4, 4]",361,8,5.0,best_third,we76379b,8.09712193091871,7.087573705557973,8.407601514786142,5,5,0,1,1,2,8.0
2215,"[[5, 9], [7, 2], [], [0, 4], [8, 10], [], [], [2], [], [], []]","[4, 4, -1, None, -4, 1, 0, 2, -4, 4, 4]",209,9,0.0,best_second,we76379b,7.877397186353287,7.5256399750415355,8.409830673087738,8,8,0,1,1,2,8.0
2218,"[[], [], [], [0, 7], [], [8], [10, 3], [], [], [5, 8], [4, 2]]","[-4, 0, -3, -2, 4, -2, None, -2, 0, 3, 1]",301,9,4.0,best_second,we76379b,8.300031711779575,7.399398083331354,8.640825751861511,5,5,0,1,1,2,2.0
2219,"[[7], [0, 7], [], [], [], [], [4, 3], [], [10, 6], [], [2, 9]]","[3, -2, -1, 3, -4, 1, 1, -2, None, 1, 0]",59,5,2.0,best_min,we76379b,8.08825472712243,7.720017940432244,8.613956859848546,4,4,0,1,1,2,2.0
2220,"[[5, 10], [4, 9], [], [2, 6], [9], [], [], [], [3, 0], [], []]","[2, 2, -4, -3, -1, -2, -2, -1, None, -4, -1]",195,5,3.0,best_second,we76379b,7.68937110752969,7.893198869544609,8.489410810403786,1,1,0,1,1,2,2.0
2222,"[[], [], [], [7, 8], [5, 0], [], [9, 4], [8], [], [1, 2], []]","[0, 0, 4, -4, 3, 2, None, 2, 0, -2, 3]",277,4,3.0,best_second,we76379b,7.413970290190445,7.3783837129967145,8.089175678837561,5,5,0,1,1,2,4.0
2227,"[[10, 8], [0, 3], [4, 7], [5, 9], [7], [], [], [], [], [], []]","[2, None, -1, 2, 2, -4, -1, 0, -2, -3, 1]",145,4,4.0,best_second,we76379b,8.760453046315272,7.748460023899698,9.070388411548738,3,3,0,1,1,2,1.0
2228,"[[], [3, 10], [], [6, 7], [5, 8], [8], [], [], [], [], [2, 9]]","[3, None, -1, 3, -1, 4, -2, -1, -4, 3, 4]",83,5,1.0,best_second,we76379b,8.24905227417129,6.688354713946762,8.439447842791385,7,3,4,0,1,2,1.0
2229,"[[], [0], [], [7, 5], [], [], [], [], [1, 0], [3, 10], [6, 4]]","[-1, -2, 2, -3, 1, 3, -4, -3, 3, None, 1]",363,5,0.0,best_third,we76379b,8.10892415597534,7.884952945759814,8.696175846944678,2,2,0,1,1,2,6.0
2230,"[[7, 5], [6], [], [4, 0], [2, 9], [], [], [], [], [], [1, 6]]","[2, 4, -4, None, -2, -4, 3, 4, -1, -2, 0]",13,10,6.0,best_second,we76379b,8.382975849296429,7.8838232148921525,8.857230494201946,6,6,0,1,1,2,2.0
2234,"[[], [0, 10], [3, 8], [], [7, 6], [], [], [6], [], [2, 1], []]","[-3, 2, 2, 0, -4, 1, 3, 3, 4, None, 3]",319,4,2.0,best_third,we76379b,9.045111892608405,7.395721608602045,9.22078562983772,6,6,0,1,1,2,6.0
2235,"[[4], [], [0, 4], [6, 8], [], [7, 3], [], [9, 1], [], [], []]","[0, 3, -2, 3, -4, None, 3, 0, 1, -1, -3]",323,4,2.0,best_second,we76379b,7.881182202227101,7.889084407035514,8.57810012631976,6,6,0,1,1,2,4.0
2240,"[[], [], [1], [], [], [3, 4], [9, 10], [2, 1], [5, 6], [], []]","[3, -1, -2, -4, -3, -3, 3, 1, None, 4, -2]",15,11,5.0,best_second,we76379b,8.118802996980035,7.204892510204673,8.455743229100015,7,7,0,1,1,2,1.0
2242,"[[5, 10], [], [], [], [], [10], [3, 9], [1, 4], [6, 7], [], []]","[3, -2, 1, 4, 4, 4, -1, -4, None, -2, -4]",333,6,1.0,best_third,we76379b,8.376781037699491,7.693481640835175,8.785386587284155,3,3,0,1,1,2,6.0
2243,"[[10, 1], [], [], [7, 4], [], [], [5, 2], [], [], [3, 6], [1]]","[4, -4, -4, -1, -3, -2, 4, -1, 4, None, -4]",199,4,8.0,best_second,we76379b,7.400620577371135,7.650644551436897,8.226305988015508,2,2,0,1,1,2,2.0
2244,"[[], [4, 2], [], [8, 5], [2], [0, 6], [], [], [10, 9], [], []]","[-3, 0, 0, None, -1, 0, 1, -1, 0, 2, 4]",57,4,2.0,best_second,we76379b,8.905308661189288,7.409136443920128,9.107310471656639,4,4,0,1,1,2,4.0
2247,"[[6, 4], [], [], [5, 10], [], [10], [], [2, 1], [7, 0], [], []]","[-3, -4, 4, -2, -2, -2, -1, 4, None, 3, 1]",391,11,8.0,best_second,we76379b,8.046549357283078,6.5337888379333435,8.245384468120747,8,8,0,1,1,2,1.0
